
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    [::]:3702              *:*                                    4272
  UDP    [::]:4500              *:*                                    3520
  UDP    [::]:5353              *:*                                    2800
  UDP    [::]:49665             *:*                                    3528
  UDP    [::]:63770             *:*                                    14992
  UDP    [::]:63821             *:*                                    4272
  UDP    [::1]:1900             *:*                                    5588
  UDP    [::1]:5353             *:*                                    3528
  UDP    [::1]:5353             *:*                                    14992
  UDP    [::1]:53959            *:*                                    5588
  UDP    [fe80::733e:16f2:a0ad:dd1c%6]:1900  *:*                                    5588
  UDP    [fe80::733e:16f2:a0ad:dd1c%6]:53958  *:*                                    5588
