
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2841:f634:c6a:3216:b8f0:e50f]:50563  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2841:f634:c72:33e:e7e1:955]:62210  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2841:f634:187f:165f:5dac:47f3]:62458  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2841:f634:30b1:3e06:5b66:c6fc]:52163  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:cb7:2f95:974a:3763]:57812  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:145b:3e79:933e:39c9]:59710  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:1c90:3b59:e70d:5e6d]:54455  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:24e1:9d3:93b6:e83a]:57957  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:289f:3793:f342:aeeb]:60941  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:2877:7aa:343b:37fe:b778:f988]:54933  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:34a2:52f8:c54:1ba0:9747:e70e]:65447  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:34a2:52f8:1422:1c90:931e:d476]:56358  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:34a2:52f8:14ff:369d:bbcd:77d2]:50701  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:7680  [2001:0:34e2:8f5c:28ec:fa01:cb6a:65f]:60027  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:50139  [2001:0:34e4:6f7e:1415:f82:338b:f352]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:59107  [2001:0:34a2:52f8:18d1:1405:b32a:4fe6]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:59336  [2001:0:2877:7aa:8bf:2aa6:9c9e:2c36]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:59835  [2001:0:2877:7aa:b4:1b91:9c58:2365]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:64115  [2001:0:34a2:52f8:42f:1566:b574:852a]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:64129  [2001:0:34a2:52f8:1c4a:15f9:b320:d00]:7680  ESTABLISHED     768
  TCP    [2001:0:34a2:52f8:1492:3f0f:97c7:155f]:64511  [2001:0:34e2:8f5c:3c4c:1534:e88c:6f81]:7680  SYN_SENT        768
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:62486  [2606:4700::6812:cad]:443  ESTABLISHED     11900
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:64336  [2600:1407:3c00:2e::17c8:9ccf]:443  CLOSE_WAIT      13188
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:64444  [2606:4700::6812:cad]:443  ESTABLISHED     11900
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:64448  [2600:9000:233d:fc00:12:4abd:d340:93a1]:443  ESTABLISHED     5500
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:64449  [2600:9000:233d:de00:1a:1459:5cc0:93a1]:443  ESTABLISHED     5500
  TCP    [2600:1700:2231:ca40:2c47:2a73:af08:2f7b]:64468  [2607:f8b0:4009:817::2001]:443  TIME_WAIT       0
  UDP    0.0.0.0:500            *:*                                    3520
  UDP    0.0.0.0:3544           *:*                                    4484
  UDP    0.0.0.0:3702           *:*                                    4464
  UDP    0.0.0.0:3702           *:*                                    4464
  UDP    0.0.0.0:4500           *:*                                    3520
  UDP    0.0.0.0:5050           *:*                                    8428
  UDP    0.0.0.0:5353           *:*                                    4336
  UDP    0.0.0.0:5353           *:*                                    3016
  UDP    0.0.0.0:5353           *:*                                    4336
  UDP    0.0.0.0:5353           *:*                                    4336
  UDP    0.0.0.0:27036          *:*                                    6072
  UDP    0.0.0.0:49431          *:*                                    11900
  UDP    0.0.0.0:49664          *:*                                    3564
  UDP    0.0.0.0:50535          *:*                                    3732
  UDP    0.0.0.0:52986          *:*                                    6072
  UDP    0.0.0.0:57153          *:*                                    4464
  UDP    0.0.0.0:62546          *:*                                    11900
  UDP    0.0.0.0:65449          *:*                                    3660
  UDP    127.0.0.1:1900         *:*                                    5604
  UDP    127.0.0.1:10010        *:*                                    8868
  UDP    127.0.0.1:49666        *:*                                    4484
  UDP    127.0.0.1:54348        *:*                                    6412
  UDP    127.0.0.1:57413        *:*                                    5604
  UDP    192.168.1.73:137       *:*                                    4
  UDP    192.168.1.73:138       *:*                                    4
  UDP    192.168.1.73:1900      *:*                                    5604
  UDP    192.168.1.73:5353      *:*                                    3660
  UDP    192.168.1.73:5353      *:*                                    3564
  UDP    192.168.1.73:49392     *:*                                    4484
  UDP    192.168.1.73:57412     *:*                                    5604
  UDP    [::]:500               *:*                                    3520
  UDP    [::]:3702              *:*                                    4464
  UDP    [::]:3702              *:*                                    4464
  UDP    [::]:4500              *:*                                    3520
  UDP    [::]:5353              *:*                                    4336
  UDP    [::]:5353              *:*                                    3016
  UDP    [::]:5353              *:*                                    4336
  UDP    [::]:49431             *:*                                    11900
  UDP    [::]:49665             *:*                                    3564
  UDP    [::]:57154             *:*                                    4464
  UDP    [::]:62546             *:*                                    11900
  UDP    [::]:65450             *:*                                    3660
  UDP    [::1]:1900             *:*                                    5604
  UDP    [::1]:5353             *:*                                    3564
  UDP    [::1]:5353             *:*                                    3660
  UDP    [::1]:57411            *:*                                    5604
  UDP    [fe80::733e:16f2:a0ad:dd1c%6]:1900  *:*                                    5604
  UDP    [fe80::733e:16f2:a0ad:dd1c%6]:57410  *:*                                    5604
